Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,3.1941533,9.7587299,32.7871552,18.22
2,3.1941533,9.7587299,32.7901649,18.26
3,3.1941504,9.7587481,32.7865105,18.24
4,3.1941280,9.7588844,32.7890892,18.23
5,3.1940503,9.7593594,32.7817497,18.22
6,3.1940560,9.7593241,32.7638168,18.26
7,3.1940227,9.7595282,32.7477264,18.23
8,3.1940179,9.7595577,32.7265816,18.23
9,3.1940432,9.7594032,32.7053223,18.25
10,3.1940541,9.7593355,32.6847305,18.24
11,3.1940150,9.7595749,32.6610413,18.26
12,3.1940541,9.7593355,32.6421738,18.26
13,3.1940413,9.7594147,32.6186829,18.28
14,3.1940362,9.7594452,32.5930672,18.26
15,3.1940069,9.7596245,32.5684128,18.28
16,3.1940343,9.7594566,32.5451012,18.29
17,3.1939998,9.7596684,32.5129776,18.27
18,3.1940050,9.7596359,32.4865417,18.32
19,3.1940165,9.7595663,32.4559364,18.32
20,3.1939902,9.7597265,32.4258423,18.33
21,3.1939449,9.7600031,32.3885002,18.35
22,3.1938934,9.7603178,32.3403282,18.37
23,3.1939168,9.7601748,32.2941055,18.36
24,3.1938863,9.7603617,32.2468071,18.40
25,3.1939225,9.7601404,32.2006111,18.38
26,3.1939178,9.7601690,32.1529579,18.39
27,3.1939650,9.7598810,32.1131134,18.37
28,3.1939576,9.7599268,32.0788193,18.42
29,3.1939642,9.7598848,32.0470619,18.43
30,3.1939969,9.7596855,32.0160141,18.43
31,3.1940210,9.7595387,31.9928379,18.43
32,3.1940217,9.7595339,31.9665585,18.44
33,3.1940203,9.7595434,31.9457340,18.47
34,3.1940193,9.7595491,31.9267654,18.46
35,3.1940298,9.7594843,31.9108067,18.46
36,3.1940370,9.7594404,31.8964272,18.47
37,3.1940479,9.7593737,31.8870716,18.47
38,3.1940722,9.7592258,31.8814812,18.50
39,3.1940928,9.7591000,31.8803329,18.50
40,3.1941054,9.7590227,31.8782959,18.51
41,3.1941054,9.7590227,31.8781624,18.50
42,3.1941066,9.7590151,31.8729477,18.55
43,3.1940479,9.7593737,31.8723049,18.53
44,3.1940107,9.7596016,31.8622875,18.53
45,3.1940234,9.7595243,31.8480835,18.53
46,3.1939859,9.7597523,31.8314972,18.52
47,3.1939821,9.7597761,31.8134079,18.52
48,3.1940012,9.7596588,31.7927437,18.53
49,3.1939957,9.7596931,31.7709999,18.53
50,3.1939793,9.7597933,31.7511330,18.54
51,3.1940026,9.7596502,31.7291431,18.57
52,3.1939778,9.7598019,31.7065792,18.55
53,3.1939948,9.7596989,31.6841831,18.57
54,3.1939750,9.7598200,31.6618519,18.57
55,3.1939659,9.7598753,31.6382484,18.57
56,3.1939895,9.7597303,31.6119194,18.56
57,3.1939809,9.7597828,31.5899868,18.56
58,3.1939688,9.7598572,31.5624409,18.57
59,3.1939516,9.7599621,31.5347462,18.59
60,3.1939096,9.7602186,31.5015430,18.62
61,3.1938863,9.7603617,31.4602909,18.58
62,3.1938586,9.7605305,31.4160900,18.60
63,3.1938384,9.7606544,31.3740120,18.60
64,3.1938772,9.7604170,31.3310032,18.57
